"","week","begdate","enddate","hldyname","hldydate","hldyday","paymon","paybimon","holiday","mholiday","nholiday"
"1",1,1989-09-14,1989-09-20,"",NA,"",0,1,0,0,0
"2",2,1989-09-21,1989-09-27,"",NA,"",0,0,0,0,0
"3",3,1989-09-28,1989-10-04,"",NA,"",1,1,0,0,0
"4",4,1989-10-05,1989-10-11,"Columbus",1989-10-09,"Mon",0,0,0,0,1
"5",5,1989-10-12,1989-10-18,"",NA,"",0,1,0,0,0
"6",6,1989-10-19,1989-10-25,"",NA,"",0,0,0,0,0
"7",7,1989-10-26,1989-11-01,"Halloween",1989-10-31,"Tue",1,1,0,0,1
"8",8,1989-11-02,1989-11-08,"",NA,"",0,0,0,0,0
"9",9,1989-11-09,1989-11-15,"Veterans",1989-11-11,"Sat",0,1,0,0,1
"10",10,1989-11-16,1989-11-22,"Thanksgiving",1989-11-23,"Thu",0,0,1,1,0
"11",11,1989-11-23,1989-11-29,"",NA,"",0,0,0,0,0
"12",12,1989-11-30,1989-12-06,"",NA,"",1,1,0,0,0
"13",13,1989-12-07,1989-12-13,"",NA,"",0,0,0,0,0
"14",14,1989-12-14,1989-12-20,"",NA,"",0,1,0,0,0
"15",15,1989-12-21,1989-12-27,"Christmas",1989-12-25,"Mon",0,0,1,1,0
"16",16,1989-12-28,1990-01-03,"New-Year",1990-01-01,"Mon",1,1,0,0,1
"17",17,1990-01-04,1990-01-10,"",NA,"",0,0,0,0,0
"18",18,1990-01-11,1990-01-17,"King",1990-01-15,"Mon",0,1,0,0,1
"19",19,1990-01-18,1990-01-24,"",NA,"",0,0,0,0,0
"20",20,1990-01-25,1990-01-31,"",NA,"",1,1,0,0,0
"21",21,1990-02-01,1990-02-07,"",NA,"",0,0,0,0,0
"22",22,1990-02-08,1990-02-14,"Lincoln",1990-02-12,"Mon",0,1,0,0,1
"23",23,1990-02-15,1990-02-21,"Presidents Day",1990-02-19,"Mon",0,0,0,0,1
"24",24,1990-02-22,1990-02-28,"",NA,"",1,1,0,0,0
"25",25,1990-03-01,1990-03-07,"",NA,"",0,0,0,0,0
"26",26,1990-03-08,1990-03-14,"",NA,"",0,0,0,0,0
"27",27,1990-03-15,1990-03-21,"St Patricks",1990-03-17,"Sat",0,1,0,0,1
"28",28,1990-03-22,1990-03-28,"",NA,"",0,0,0,0,0
"29",29,1990-03-29,1990-04-04,"April Fools",1990-04-01,"Sun",1,1,0,0,1
"30",30,1990-04-05,1990-04-11,"",NA,"",0,0,0,0,0
"31",31,1990-04-12,1990-04-18,"Easter",1990-04-15,"Sun",0,1,1,0,0
"32",32,1990-04-19,1990-04-25,"",NA,"",0,0,0,0,0
"33",33,1990-04-26,1990-05-02,"",NA,"",1,1,0,0,0
"34",34,1990-05-03,1990-05-09,"",NA,"",0,0,0,0,0
"35",35,1990-05-10,1990-05-16,"Mother",1990-05-13,"Sun",0,1,0,0,1
"36",36,1990-05-17,1990-05-23,"",NA,"",0,0,0,0,0
"37",37,1990-05-24,1990-05-30,"Memorial Day",1990-05-29,"Tue",0,0,0,0,1
"38",38,1990-05-31,1990-06-06,"",NA,"",1,1,0,0,0
"39",39,1990-06-07,1990-06-13,"",NA,"",0,0,0,0,0
"40",40,1990-06-14,1990-06-20,"Father",1990-06-17,"Sun",0,1,0,0,1
"41",41,1990-06-21,1990-06-27,"",NA,"",0,0,0,0,0
"42",42,1990-06-28,1990-07-04,"4th of July",1990-07-04,"Wed",1,1,1,0,0
"43",43,1990-07-05,1990-07-11,"",NA,"",0,0,0,0,0
"44",44,1990-07-12,1990-07-18,"",NA,"",0,1,0,0,0
"45",45,1990-07-19,1990-07-25,"",NA,"",0,0,0,0,0
"46",46,1990-07-26,1990-08-01,"",NA,"",1,1,0,0,0
"47",47,1990-08-02,1990-08-08,"",NA,"",0,0,0,0,0
"48",48,1990-08-09,1990-08-15,"",NA,"",0,1,0,0,0
"49",49,1990-08-16,1990-08-22,"",NA,"",0,0,0,0,0
"50",50,1990-08-23,1990-08-29,"",NA,"",0,0,0,0,0
"51",51,1990-08-30,1990-09-05,"Labor Day",1990-09-03,"Mon",1,1,0,0,1
"52",52,1990-09-06,1990-09-12,"",NA,"",0,0,0,0,0
"53",53,1990-09-13,1990-09-19,"",NA,"",0,1,0,0,0
"54",54,1990-09-20,1990-09-26,"",NA,"",0,0,0,0,0
"55",55,1990-09-27,1990-10-03,"",NA,"",1,1,0,0,0
"56",56,1990-10-04,1990-10-10,"Columbus",1990-10-08,"Mon",0,0,0,0,1
"57",57,1990-10-11,1990-10-17,"",NA,"",0,1,0,0,0
"58",58,1990-10-18,1990-10-24,"",NA,"",0,0,0,0,0
"59",59,1990-10-25,1990-10-31,"Halloween",1990-10-31,"Wed",1,1,0,0,1
"60",60,1990-11-01,1990-11-07,"",NA,"",0,0,0,0,0
"61",61,1990-11-08,1990-11-14,"Veterans",1990-11-11,"Sun",0,0,0,0,1
"62",62,1990-11-15,1990-11-21,"Thanksgiving",1990-11-22,"Thu",0,1,1,1,0
"63",63,1990-11-22,1990-11-28,"",NA,"",0,0,0,0,0
"64",64,1990-11-29,1990-12-05,"",NA,"",1,1,0,0,0
"65",65,1990-12-06,1990-12-12,"",NA,"",0,0,0,0,0
"66",66,1990-12-13,1990-12-19,"",NA,"",0,1,0,0,0
"67",67,1990-12-20,1990-12-26,"Christmas",1990-12-25,"Tue",0,0,1,1,0
"68",68,1990-12-27,1991-01-02,"New-Year",1991-01-01,"Tue",1,1,0,0,1
"69",69,1991-01-03,1991-01-09,"",NA,"",0,0,0,0,0
"70",70,1991-01-10,1991-01-16,"",NA,"",0,1,0,0,0
"71",71,1991-01-17,1991-01-23,"King",1991-01-21,"Mon",0,0,0,0,1
"72",72,1991-01-24,1991-01-30,"",NA,"",0,0,0,0,0
"73",73,1991-01-31,1991-02-06,"",NA,"",1,1,0,0,0
"74",74,1991-02-07,1991-02-13,"Lincoln",1991-02-12,"Tue",0,0,0,0,1
"75",75,1991-02-14,1991-02-20,"Presidents Day",1991-02-18,"Mon",0,1,0,0,1
"76",76,1991-02-21,1991-02-27,"",NA,"",0,0,0,0,0
"77",77,1991-02-28,1991-03-06,"",NA,"",1,1,0,0,0
"78",78,1991-03-07,1991-03-13,"",NA,"",0,0,0,0,0
"79",79,1991-03-14,1991-03-20,"St Patricks",1991-03-17,"Sun",0,1,0,0,1
"80",80,1991-03-21,1991-03-27,"",NA,"",0,0,0,0,0
"81",81,1991-03-28,1991-04-03,"Easter",1991-03-31,"Sun",1,1,1,0,0
"82",82,1991-04-04,1991-04-10,"",NA,"",0,0,0,0,0
"83",83,1991-04-11,1991-04-17,"",NA,"",0,1,0,0,0
